No.,Time,Source,Destination,Protocol,Length,Info
1,0,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
4,0.016652,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
7,0.036908,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
12,0.05009,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
21,0.069231,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
25,0.07982,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
27,0.108981,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
30,0.118497,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
37,0.134806,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
40,0.145329,192.168.1.2,91.108.23.100,HTTP,382,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
48,0.168891,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
51,0.180046,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
53,0.196636,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
56,0.207696,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
62,0.231653,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
65,0.241828,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
78,0.293086,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
82,0.304962,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
85,0.35691,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
94,0.370038,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
104,0.427199,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
111,0.442303,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
120,0.496553,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
121,0.496553,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
125,0.51041,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
129,0.512648,192.168.1.2,91.108.23.100,HTTP,222,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
137,0.560802,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
144,0.568876,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
147,0.570484,192.168.1.2,91.108.23.100,HTTP,302,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
155,0.583343,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
158,0.628366,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
161,0.636829,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
163,0.637517,192.168.1.2,91.108.23.100,HTTP,382,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
167,0.647455,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
179,0.695705,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
180,0.699637,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
183,0.707248,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
187,0.711888,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
191,0.761286,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
192,0.767833,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
201,0.773474,192.168.1.2,91.108.23.100,HTTP,174,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
205,0.784751,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
207,0.823944,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
214,0.834644,192.168.1.2,91.108.23.100,HTTP,174,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
216,0.838072,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
219,0.847628,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
228,0.892326,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
229,0.904593,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
232,0.916613,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
